Work,Author,Era,School of Thought,Topic(s),Original Language,Prerequisite,Eastern/Western
Summa Theologica,Thomas Aquinas,Medieval,Scholasticism,Ethics,Latin,Metaphysics - Aristotle,Western
,,,,,,,
Ordinatio,Duns Scotus,Medieval,Scholasticism,Metaphysics,Latin,Metaphysics - Aristotle,Western
Ordinatio,Duns Scotus,Medieval,Scholasticism,Ethics,Latin,Metaphysics - Aristotle,Western
Opus Majus,Rodger Bacon,Medieval,Scholasticism,Metaphysics,Latin,Nicomachean Ethics - Aristotle,Western
Opus Majus,Rodger Bacon,Medieval,Scholasticism,Epistemology,Latin,Nicomachean Ethics - Aristotle,Western
Opus Majus,Rodger Bacon,Medieval,Scholasticism,Logic,Latin,Nicomachean Ethics - Aristotle,Western
Sum of Logic,William Ockham,Medieval,Scholasticism,Logic,Latin,Organon - Aristotle,Western
,,,,,,,
The Book of Five Rings ,Miyamoto Musashi,Modern,Martial,Ethics,Japanese,N/A,Eastern
The Book of Five Rings ,Miyamoto Musashi,Modern,Martial,Mind,Japanese,N/A,Eastern
,,,,,,,
In Praise of Folly,Erasmus of Rotterdam,Modern,Humanism,Ethics,Latin,N/A,Western
The Prince,Niccolo Machiavelli,Modern,Republicanism,Politics,Italian,N/A,Western
Discourses on Livy,Niccolo Machiavelli,Modern,Republicanism,Politics,Italian,Politics - Aristotle,Western
Novum Organum,Francis Bacon,Modern,Empiricism,Epistemology,Latin,N/A,Western
,,,,,,,
Meditations on First Philosophy,Rene Descartes,Modern,Rationalism,Metaphysics,French,N/A,Western
Meditations on First Philosophy,Rene Descartes,Modern,Rationalism,Epistemology,French,N/A,Western
Meditations on First Philosophy,Rene Descartes,Modern,Rationalism,Mind,French,N/A,Western
Discourse on the Method,Rene Descartes,Modern,Rationalism,Metaphysics,French,N/A,Western
Discourse on the Method,Rene Descartes,Modern,Rationalism,Epistemology,French,N/A,Western
Leviathan,Thomas Hobbes,Modern,Empirisism,Politics,English,N/A,Western
An Essay Concerning Human Understanding,John Locke,Modern,Empirisism,Metaphysics,English,Parmenides - Plato,Western
An Essay Concerning Human Understanding,John Locke,Modern,Empirisism,Epistemology,English,Parmenides - Plato,Western
Two Treatises of Government,John Locke,Modern,Liberalism,Politics,English,N/A,Western
,,,,,,,
Discourse on Metaphysics,Gottfried Leibniz,Modern,Idealism,Metaphysics,French,Phaedo - Plato,Western
Monadology,Gottfried Leibniz,Modern,Idealism,Metaphysics,French,N/A,Western
New Essays on Human Understanding,Gottfried Leibniz,Modern,Idealism,Metaphysics,French,An Essay Concerning Human Understanding - Locke,Western
New Essays on Human Understanding,Gottfried Leibniz,Modern,Idealism,Epistemology,French,An Essay Concerning Human Understanding - Locke,Western
,,,,,,,
A Treatise Concerning the Principles of Human Knowledge,George Berkely,Modern,Idealism,Metaphysics,English,An Essay Concerning Human Understanding - Locke,Western
A Treatise Concerning the Principles of Human Knowledge,George Berkely,Modern,Idealism,Epistemology,English,An Essay Concerning Human Understanding - Locke,Western
Ethics,Baruch Spinoza,Modern,Rationalism,Metaphysics,Latin,On the Soul - Aristotle,Western
Ethics,Baruch Spinoza,Modern,Rationalism,Epistemology,Latin,On the Soul - Aristotle,Western
Ethics,Baruch Spinoza,Modern,Rationalism,Ethics,Latin,On the Soul - Aristotle,Western
,,,,,,,
A Treatise on Human Nature,David Hume,Modern,Empiricism,Metaphysics,English,On the Soul - Aristotle,Western
